time_signature,track_popularity,speechiness,danceability,playlist_name,track_artist,duration_ms,energy,playlist_genre,playlist_subgenre,track_name,mode,type,track_album_release_date,instrumentalness,track_album_id,playlist_id,track_id,valence,key,tempo,loudness,acousticness,liveness,track_album_name,Popularity_Type,year,duration_min,release_year,song_age,energy_danceability_ratio,valence_energy_product,is_2000s_or_earlier
4.0,23,-0.6181033554276826,0.07299510100586222,Rock Classics,Creedence Clearwater Revival,138053.0,0.6473193973909204,rock,classic,Fortunate Son,1.0,audio_features,2005-12-14,0.2526405633810409,4A8gFwqd9jTtnsNwUu3OQx,37i9dQZF1DWXRqgorJj26U,5e6x5YRnMJIKvYpZxLqdpH,-0.1932377155157212,0.0,0.49235856808281486,0.7712492121090735,-0.8497817597259987,0.043329156907784855,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,Low,2005,2.300883333333333,2005,1.09622646683645,1.1729375324287354,0.322272,0
4.0,53,-0.6933285799895245,-0.2679678342396971,Rock Classics,Van Halen,241600.0,1.008793338003267,rock,classic,Jump - 2015 Remaster,1.0,audio_features,2015-03-27,-0.5703712671137284,2c965LEDRNrXXCeBOAAwns,37i9dQZF1DWXRqgorJj26U,5FqYA8KfiwsQvyBI4IamnY,1.2138535326942224,0.0,0.4106738518599788,0.42981395618404356,-0.523367327323623,-0.7828444344035953,The Collection,Low,2015,4.026666666666666,2015,0.1640768615620677,1.4597646894285066,0.663825,0
4.0,55,-0.5577252146609412,-0.1667444628386717,Rock Classics,Stevie Nicks,329413.0,0.8828866845315511,rock,classic,Edge of Seventeen - 2016 Remaster,1.0,audio_features,2016-11-04,-0.5714255820312252,3S404OgKoVQSJ3xXrDVlp8,37i9dQZF1DWXRqgorJj26U,5LNiqEqpDc8TuqPy79kDBu,0.6828025657389545,0.0,-0.23901600787029634,0.27831433564212393,-0.04388850006589624,-0.689618620598031,Bella Donna (Deluxe Edition),Low,2016,5.490216666666667,2016,0.07086190103462944,1.3603830730444495,0.5290320000000001,0
4.0,64,-0.007393308655888131,-0.9552212505940267,Jazz Classics,"Ella Fitzgerald, Louis Armstrong",185160.0,-1.9601667809588161,jazz,classic,Dream A Little Dream Of Me - Single Version,1.0,audio_features,2007-05-03,-0.5714425751938758,1y5KGkUKO0NG32MhIIagCA,37i9dQZF1DXbITWG1ZJKYt,78MI7mu1LV1k4IA2HzKmHe,-0.34053652386827715,0.0,-1.465970249013905,-1.0884086300429898,1.7572306843765904,0.1879899024681434,"Love, Ella",Low,2007,3.086,2007,0.9097965457815737,0.23475768041353468,0.040976,0
4.0,62,-0.7121348861299847,0.3340448483032436,Jazz Classics,Galt MacDermot,205720.0,-0.46553295910102327,jazz,classic,Coffee Cold,0.0,audio_features,2000-01-01,0.2355905674105254,6f4b9wVTkKAf096k4XG6x5,37i9dQZF1DXbITWG1ZJKYt,6MN6yRVriszuyAVlyF8ndB,-0.02655748501151308,9.0,-1.3252228182701353,-0.05722926837294248,1.3638121594471735,0.4532012693288005,Shapes of Rhythm/Woman Is Sweeter,Low,2000,3.4286666666666665,2000,1.5623012694736411,0.6890410358972862,0.22419999999999998,1
4.0,61,-0.4468669889908586,0.2541316603550656,Jazz Classics,"Frank Sinatra, Count Basie",147147.0,-0.9001139888259793,jazz,classic,Fly Me To The Moon,1.0,audio_features,2015-04-17,-0.5714425751938758,7gmak9ZGm10y4PtZa9SBQn,37i9dQZF1DXbITWG1ZJKYt,2dR5WkrpwylTuT3jRWNufa,-0.12346459576977352,0.0,0.03770894318087354,-0.12273882651467977,0.5646807806842955,-0.8849106271045148,Ultimate Sinatra,Low,2015,2.45245,2015,0.1640768615620677,0.5447679885374845,0.16425,0
4.0,60,-0.10241464494453048,0.21683883931258255,Jazz Classics,"Ella Fitzgerald, Louis Armstrong",354533.0,-1.3103259888467322,jazz,classic,Cheek To Cheek,1.0,audio_features,1997-05-20,-0.5714425751938758,2uqlkJu6vckJahCsp6Hfcn,37i9dQZF1DXbITWG1ZJKYt,33jt3kYWjQzqn3xyYQ5ZEh,0.678926281308624,0.0,0.14766239331337278,-0.7417831093401346,1.120999163592299,-0.5433505334203352,The Complete Ella And Louis On Verve,Low,1997,5.908883333333334,1997,1.8419461510559558,0.3981840394564185,0.17344800000000002,1
4.0,55,-0.637899467154483,-0.5183624898106541,Jazz Classics,Benny Goodman,195533.0,-1.4809091967761543,jazz,classic,Stompin At The Savoy,0.0,audio_features,1990-01-01,-0.3443934621865108,33oCBSZiLbfqyOnTTQ4Tct,37i9dQZF1DXbITWG1ZJKYt,1xUJ1mdLAysxNBtO9w3J2g,0.632410868144659,10.0,1.3360014036448986,-0.24997045228460668,1.520564852973738,-0.9371492296679776,B. G. In Hi Fi,Low,1990,3.2588833333333334,1990,2.4944508747480234,0.42284908858878884,0.14319,1
4.0,54,-0.6477975230178833,-1.5252686579576957,Jazz Classics,Kenny Dorham,190400.0,-2.1311561393833083,jazz,classic,Alone Together - Rudy Van Gelder Remaster 2006,0.0,audio_features,1992-01-01,1.9604818264276789,4B0pF1WLB3pCaZ4eTx5U8S,37i9dQZF1DXbITWG1ZJKYt,3GOZbK2epuHzCt5YvvVFHO,-1.1041645566433704,5.0,-2.019034349536833,-1.5726463060714213,1.9785286046493873,-0.46298345255346945,Quiet Kenny,Low,1992,3.1733333333333333,1992,2.308020953693147,0.1842207077170322,0.0121943,1
4.0,53,-0.6042460772189222,0.6377149625063193,Jazz Classics,Horace Silver,438280.0,0.34270652608838126,jazz,classic,Song For My Father,0.0,audio_features,1999-01-01,-0.5589108281555469,4LEnATSqKeANOJ0mLUAuCE,37i9dQZF1DXbITWG1ZJKYt,1CDBaGlisZlOJzvx88lL8A,0.4230915089068159,5.0,0.31871278447643414,0.16006046516357014,1.391474399481273,-0.3665429555132306,Song For My Father,Low,1999,7.304666666666667,1999,1.6555162300010793,0.9043004811255915,0.396561,1
3.0,53,-0.47557135099471926,-0.5503277649899254,Jazz Classics,Gene Ammons,252947.0,-2.2111677869121085,jazz,classic,My Romance - Remastered 2006,1.0,audio_features,2006-03-21,2.068465134240944,04l5TDoVZFNPvExGNdVjOj,37i9dQZF1DXbITWG1ZJKYt,6rK27cC9hX0e1Chrnxo9Vn,-0.32890767057728587,1.0,0.42663200809930524,-0.20971083089985595,1.9201305423551769,-0.3504695393398574,Boss Tenor (RVG Remasters / Remastered 2006),Low,2006,4.215783333333333,2006,1.003011506309012,0.08130864530548546,0.0167534,0
4.0,53,-0.44389757223183846,0.1955286558597351,Jazz Classics,Coleman Hawkins,182360.0,-1.9236132364025114,jazz,classic,Body and Soul,0.0,audio_features,1996-05-21,1.9292235004817337,6Ieo4Lrku0sQ63Pd9G8j3L,37i9dQZF1DXbITWG1ZJKYt,2xm9ihELo6xwrRKrBbPql9,0.9929053201653881,10.0,-0.8140006526780119,-1.0482892860846664,1.9508663646152875,0.09154940542790437,Body & Soul,Low,1996,3.0393333333333334,1996,1.9351611115833942,0.1714693251999211,0.083394,1
4.0,52,-0.6745222738490638,-0.6249134070748915,Jazz Classics,Stanley Turrentine,295200.0,-1.736784008670287,jazz,classic,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,0.0,audio_features,2007-01-01,-0.5353534170562847,21YbbJrVCRQIxB5W2EKIbr,37i9dQZF1DXbITWG1ZJKYt,7ysmJhXFQtiBQlk6EZ6sks,-1.1080408410737008,7.0,-2.0653305390663057,-0.27381761477731625,1.8586588978349554,0.35676077228856146,Look Out! (Remastered),Low,2007,4.92,2007,0.9097965457815737,0.3148452505890973,0.031164,0
4.0,50,-0.6745222738490638,-0.5609828567163491,Jazz Classics,Esbjörn Svensson Trio,267173.0,-2.0101232918524325,jazz,classic,Where We Used to Live,1.0,audio_features,2006-09-22,1.2159653357151678,1FXFyWXLIdOVgjR0MaRa9y,37i9dQZF1DXbITWG1ZJKYt,72PqmnVj86bfTnkFiQ9Mx9,-1.5437352110428404,0.0,-0.8138252883237338,-1.278203987999672,1.6435081420141806,-0.47905686872684267,Tuesday Wonderland,Low,2006,4.452883333333333,2006,1.003011506309012,0.1773660083944218,0.007666119999999999,0
4.0,49,-0.679471301780764,-1.1203751723535946,Jazz Classics,Roy Hargrove,372493.0,-1.5905698304450684,jazz,classic,Ruby My Dear,1.0,audio_features,1994-08-16,1.4432986153220413,1OGhqJimAFVAtyX7PKbakD,37i9dQZF1DXbITWG1ZJKYt,1czzmAtPTw287TyMQEfCfg,-1.566217660738757,8.0,0.5487557444187188,-0.1409748919502813,1.7172741154384463,-0.4951302849002158,Approaching Standards,Low,1994,6.208216666666667,1994,2.1215910326382708,0.47328948326496934,0.015170999999999999,1
4.0,49,-0.41321359905529775,-1.0937374430375353,Jazz Classics,John Coltrane,287844.0,-0.6767312165374505,jazz,classic,Giant Steps - 2020 Remaster,0.0,audio_features,2020-09-18,-0.5682883259393304,4jTDjHLMFCHWrjuP1qmCf4,37i9dQZF1DXbITWG1ZJKYt,1ZXu0ib26kWfQQngREMcU2,0.13624646106236482,0.0,1.012594461484843,-0.527860034037887,-0.477263593933457,0.13976965394802388,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],Low,2020,4.7974,2020,-0.3019979410751235,1.0071700918443203,0.21714,0
